RefSt,Sensor_O3,Temp,RelHum
5.344222222,19.88135593,27.33694444,51.92694444
12.59591667,28.30681818,42.595,28.04666667
10.03874652,36.88068182,33.05944444,48.04333333
7.360555556,32.31920904,28.57270195,59.62395543
3.969138889,18.85875706,28.46888889,57.18277778
8.653805556,31.65155807,39.68555556,30.07638889
15.08250696,45.06798867,31.19,46.06472222
8.920166667,28.31638418,26.96824513,54.99637883
2.192833333,10.51694915,26.57943662,52.1171831
6.063055556,28.16101695,36.72428571,32.49542857
11.07289694,29.03672316,30.80861111,43.04277778
4.457267606,27.44350282,25.5729805,53.4
1.188142857,28.86685552,24.81114206,57.47270195
4.187,47.97733711,39.17478992,26.81820728
5.08281337,46.84659091,31.22861111,40.75972222
3.823760446,40.7733711,26.10947075,56.14707521
3.136862745,33.87889273,25.40388889,56.76694444
8.432944444,44.18696884,39.28659794,28.46391753
9.180891365,48.64022663,31.03472222,45.62611111
7.184611111,37.83615819,26.74178273,56.40278552
5.459484536,20.51977401,26.69972145,57.23203343
9.365305556,28.21246459,38.88083333,30.00916667
12.19334262,30.44475921,31.67555556,43.80027778
7.709220056,30.74011299,27.44651811,54.9189415
2.045361111,26.76770538,26.97916667,56.08055556
4.832916667,43.48870056,40.51,26.02916667
6.069888579,43.50424929,32.90055866,45.16620112
6.010277778,34.26136364,28.08300836,57.41671309
3.865638889,25.24858757,27.66361111,57.74611111
10.6472905,32.01416431,41.38083333,27.85861111
13.0475766,34.44886364,34.21416667,44.24472222
8.477888889,27.77142857,29.78495822,55.41142061
4.201027778,22.33898305,29.80311615,53.83824363
7.822888889,32.39265537,39.90277778,32.54333333
9.199192201,28.42045455,38.34027778,37.83333333
5.594164306,34.03107345,32.41587744,49.29888579
2.744166667,27.07932011,30.60138889,45.53138889
4.8705,44.83898305,38.84611111,32.46166667
5.310473538,43.10227273,37.98194444,39.17111111
7.164777778,41.71662125,32.0545961,49.67075209
4.220166667,36.45042493,29.78136095,45.79704142
10.94197222,40.12146893,38.08916667,29.055
10.98905292,49.56534091,35.80381679,39.60076336
8.376597633,41.20679887,31.94731183,49.64301075
6.771472222,24.80225989,38.27486034,34.15307263
11.67832061,40.70538244,32.36972222,48.86611111
10.53873,27.9490085,27.50501393,56.7908078
7.916129032,37.37110482,26.90166667,63.5325
7.100195531,20.43502825,37.44611111,33.53888889
10.02152778,22.86402266,32.08444444,50.6425
17.0854039,29.42329545,27.22061281,66.88523677
12.99166667,26.85135135,27.14818942,65.29470752
3.568638889,26.85135135,36.31166667,42.03222222
9.523166667,26.85135135,31.7175,51.31027778
18.95988858,26.85135135,27.80389972,61.24735376
10.63961003,19.82716049,27.32896936,63.63064067
3.787694444,12.88513514,33.47486034,50.33938547
5.4425,31.33711048,30.35805556,47.04416667
5.92643454,39.56214689,27.10807799,54.33788301
5.949164345,23.32515337,26.73197674,57.8872093
3.85103352,18.87288136,35.10827068,32.48834586
9.608416667,46.30594901,38.8,25.1
7.463509749,44.71022727,37.33766234,27.84025974
16.06453488,30.76271186,36.66095506,32.10140449
10.81650376,20.74709302,33.49694444,44.1375
9.273793103,31.09348442,29.21142061,50.20306407
