Date,Slot No.,AVG PM1,AVG PM2.5,AVG PM10
10-02-2022,SLOT-1,4.25542372881356,17.732711864406777,53.408474576271175
10-02-2022,SLOT-2,6.094666666666668,20.04633333333333,54.45983333333332
10-02-2022,SLOT-3,5.458500000000001,18.941333333333336,52.136833333333314
10-02-2022,SLOT-4,7.05066666666667,21.53333333333334,54.727833333333336
10-02-2022,SLOT-5,7.156333333333331,22.074999999999996,56.481
10-02-2022,SLOT-6,12.579166666666667,28.583666666666662,56.52900000000001
10-02-2022,SLOT-7,13.291666666666663,29.528499999999998,57.21250000000001
10-02-2022,SLOT-8,12.935166666666666,30.860999999999997,62.77766666666664
10-02-2022,SLOT-9,8.6015,21.351499999999994,47.686499999999995
10-02-2022,SLOT-10,6.3550847457627135,15.928644067796613,37.305762711864396
10-02-2022,SLOT-11,4.339655172413793,11.091551724137931,26.956034482758618
10-02-2022,SLOT-12,5.147000000000002,12.101666666666667,28.83816666666667
10-02-2022,SLOT-13,7.107118644067795,15.120508474576273,33.5693220338983
10-02-2022,SLOT-14,5.610166666666667,13.358833333333333,33.28500000000002
10-02-2022,SLOT-15,4.7835593220338986,12.558474576271188,32.093898305084736
10-02-2022,SLOT-16,3.852499999999999,11.615666666666668,32.521
10-02-2022,SLOT-17,3.705999999999999,11.21333333333333,33.60966666666666
10-02-2022,SLOT-18,4.3685,12.583500000000006,35.399999999999984
10-02-2022,SLOT-19,4.779666666666667,13.741333333333335,41.611833333333344
10-02-2022,SLOT-20,5.496833333333333,15.17316666666667,44.65683333333333
10-02-2022,SLOT-21,5.929999999999999,15.969833333333337,47.81549999999998
10-02-2022,SLOT-22,6.5205,16.940666666666665,50.31049999999998
10-02-2022,SLOT-22,6.5205,16.940666666666665,50.31049999999998
10-02-2022,SLOT-24,10.375,24.627666666666652,53.721500000000006
11-02-2022,SLOT-1,8.438474576271185,20.00830508474576,50.31254237288137
11-02-2022,SLOT-2,9.329666666666665,21.732166666666668,52.237666666666655
11-02-2022,SLOT-3,9.451666666666666,20.07266666666666,44.37116666666667
11-02-2022,SLOT-4,7.8083333333333345,16.63033333333333,36.976499999999994
