YEAR,MO,DY,HR,T2M,RH2M,WS2M,WD2M,
2021,12,16,13,26.86,65.62,1.11,108.82,12/16/2021
2021,12,16,14,26.8,65.69,0.88,112.93,12/16/2021
2021,12,16,15,26.48,67.94,0.64,119.05,12/16/2021
2021,12,16,16,26,75.44,0.44,124.25,12/16/2021
2021,12,16,17,24.81,77.12,0.4,127.78,12/16/2021
2021,12,16,18,24.04,71.69,0.18,162.35,12/16/2021
2021,12,16,19,23.05,77.06,0.21,344.93,12/16/2021
2021,12,16,20,21.82,84.81,0.41,8.75,12/16/2021
2021,12,16,21,21.01,88.88,0.42,27.51,12/16/2021
2021,12,16,22,20.58,90.38,0.46,34.51,12/16/2021
2021,12,16,23,20.36,89.88,0.48,44.34,12/16/2021
2021,12,17,0,20.05,89.88,0.47,55.78,12/17/2021
2021,12,17,1,19.61,90.56,0.5,64.23,12/17/2021
2021,12,17,2,19.24,90.81,0.56,71.31,12/17/2021
2021,12,17,3,18.8,91.31,0.62,77.7,12/17/2021
2021,12,17,4,18.29,92.19,0.66,81.2,12/17/2021
2021,12,17,5,17.78,93.31,0.71,83.66,12/17/2021
2021,12,17,6,17.3,94.38,0.74,85.14,12/17/2021
2021,12,17,7,18.43,88.81,1.38,87.07,12/17/2021
2021,12,17,8,20.33,81.5,1.49,91.5,12/17/2021
2021,12,17,9,22.47,73.31,1.51,93.85,12/17/2021
2021,12,17,10,23.87,68.94,1.4,93.52,12/17/2021
2021,12,17,11,24.74,66.69,1.2,95.23,12/17/2021
2021,12,17,12,25.44,64.94,0.96,98.46,12/17/2021
2021,12,17,13,25.96,63.38,0.71,102.05,12/17/2021
2021,12,17,14,26.25,62.56,0.5,101.66,12/17/2021
2021,12,17,15,26.11,65,0.31,87.06,12/17/2021
2021,12,17,16,25.84,66.75,0.3,41.88,12/17/2021
2021,12,17,17,24.61,67.56,0.38,8.3,12/17/2021
2021,12,17,18,23.52,66,0.6,354.07,12/17/2021
2021,12,17,19,22.12,71.25,0.77,6.98,12/17/2021
2021,12,17,20,20.85,76.62,0.86,22.86,12/17/2021
2021,12,17,21,19.54,83.5,0.78,35.27,12/17/2021
2021,12,17,22,18.7,86.5,0.64,49.93,12/17/2021
2021,12,17,23,18.39,85.06,0.69,63.73,12/17/2021
2021,12,18,0,18.15,82.81,0.73,73.89,12/18/2021
2021,12,18,1,17.77,83,0.72,80.64,12/18/2021
2021,12,18,2,17.18,84.81,0.76,82.87,12/18/2021
2021,12,18,3,16.59,86.94,0.79,83.78,12/18/2021
2021,12,18,4,16.14,89,0.82,84.02,12/18/2021
2021,12,18,5,15.8,91.06,0.86,84.24,12/18/2021
2021,12,18,6,15.69,92.75,0.93,86.15,12/18/2021
2021,12,18,7,17.1,88.56,1.56,87.99,12/18/2021
2021,12,18,8,19.3,82.44,1.65,87.29,12/18/2021
2021,12,18,9,21.84,74.06,1.68,85.48,12/18/2021
