Date,Slot No.,RefSt,Sensor_O3,Temp,RelHum
26-12-2021,SLOT-8,81.90783333,100.3050847,27.00666667,63.61
26-12-2021,SLOT-9,38.90677966,89.27118644,30.65762712,53.49830508
26-12-2021,SLOT-10,33.42982759,89.16949153,36.0362069,41.85344828
26-12-2021,SLOT-11,29.33883333,71.49152542,39.84666667,35.80666667
26-12-2021,SLOT-12,30.00293103,67,42.13448276,29.49827586
26-12-2021,SLOT-13,36.22017241,67,38.3137931,31.13103448
26-12-2021,SLOT-14,37.00053571,75.57627119,37.19642857,37.45357143
26-12-2021,SLOT-15,38.00833333,74.45,36.69833333,36.76666667
26-12-2021,SLOT-16,43.3775,78.69491525,35.645,40.78
26-12-2021,SLOT-17,45.88566667,89.52542373,35.87333333,45.53666667
26-12-2021,SLOT-18,61.73616667,103.5932203,34.22166667,50.18833333
26-12-2021,SLOT-19,86.34683333,120.8103448,31.95166667,56.29
26-12-2021,SLOT-20,116.6963793,135.9661017,30.83965517,60.00862069
26-12-2021,SLOT-21,140.1206667,159.220339,30.58,60.60833333
26-12-2021,SLOT-22,172.9248333,168.6101695,30.25,61.52666667
26-12-2021,SLOT-22,172.9248333,168.6101695,30.25,61.52666667
26-12-2021,SLOT-24,167.2851667,168.4745763,29.44166667,62.75166667
27-12-2021,SLOT-1,198.5940678,162.1896552,28.92711864,63.7559322
27-12-2021,SLOT-2,213.9473333,165.9310345,28.77333333,64.69666667
27-12-2021,SLOT-3,168.5188333,156.1186441,28.50666667,64.78
27-12-2021,SLOT-4,183.7449153,148.0847458,28.09830508,65.73728814
27-12-2021,SLOT-5,178.2648936,147.3728814,27.85319149,66.92553191
27-12-2021,SLOT-6,185.9227273,188.2372881,27.85454545,66.88181818
27-12-2021,SLOT-8,96.17241379,129.5932203,27.53103448,66.21724138
27-12-2021,SLOT-9,50.69735294,109,26.85588235,70.09117647
27-12-2021,SLOT-10,60.35405405,86.13888889,27.05675676,70.51621622
27-12-2021,SLOT-11,41.81047619,74.18181818,27.09047619,69.30952381
27-12-2021,SLOT-12,28.73915254,66.13888889,27.99322034,65.77118644
27-12-2021,SLOT-13,32.12464286,86.13888889,34.03035714,50.51071429
27-12-2021,SLOT-14,37.8265,74.18181818,45.08,25.04666667
27-12-2021,SLOT-15,39.3035,66.13888889,47.85,21.56333333
27-12-2021,SLOT-16,37.28533333,40.80583333,40.87,30.835
27-12-2021,SLOT-17,36.56433333,65.67316667,35.97166667,37.28166667
27-12-2021,SLOT-18,40.80583333,74.42616667,34.215,36.68833333
27-12-2021,SLOT-19,65.67316667,83.70933333,32.39166667,35.37833333
27-12-2021,SLOT-20,74.42616667,86.685,32.025,40.80333333
27-12-2021,SLOT-21,83.70933333,126.11575,30.22833333,50.355
27-12-2021,SLOT-22,86.685,109.5053782,30.13,56.12666667
27-12-2021,SLOT-22,86.685,101.9027551,30.13,56.12666667
27-12-2021,SLOT-24,98.387,121.1715238,29.73833333,57.83
28-12-2021,SLOT-1,85.95756303,77.95625,29.4512605,57.14201681
28-12-2021,SLOT-2,102.2941667,50.26458333,29.11083333,57.98916667
28-12-2021,SLOT-3,114.1905833,32.95575,28.7425,59.21083333
28-12-2021,SLOT-4,126.11575,24.23346939,28.2475,61.90666667
28-12-2021,SLOT-5,109.5053782,21.28426087,27.97058824,63.52773109
28-12-2021,SLOT-6,101.9027551,19.64277311,27.46020408,65.02040816
28-12-2021,SLOT-7,121.1715238,23.35654867,27.37142857,64.4847619
28-12-2021,SLOT-8,77.95625,30.1482,27,65.39166667
28-12-2021,SLOT-9,50.26458333,35.17583333,26.67604167,65.43229167
28-12-2021,SLOT-10,32.95575,26.53423729,26.44083333,65.89916667
28-12-2021,SLOT-11,24.23346939,29.11366667,27.45816327,61.41530612
28-12-2021,SLOT-12,21.28426087,47.04083333,30.84086957,51.8573913
28-12-2021,SLOT-13,19.64277311,47.269,37.02941176,38.51764706
28-12-2021,SLOT-14,23.35654867,63.60066667,42.67610619,24.20353982
28-12-2021,SLOT-15,30.1482,86.35116667,46.811,17.677
28-12-2021,SLOT-16,35.17583333,83.11864407,45.63833333,19.345
28-12-2021,SLOT-17,26.53423729,74.91525424,38.17627119,32.26440678
28-12-2021,SLOT-18,29.11366667,87.6779661,36.42,36.9
28-12-2021,SLOT-19,47.04083333,104.8448276,34.25166667,37.71666667
28-12-2021,SLOT-20,47.269,116.6271186,31.64666667,38.89
28-12-2021,SLOT-21,63.60066667,134.2033898,29.58166667,45.13666667
28-12-2021,SLOT-22,86.35116667,133.3220339,29.905,53.40666667
